BITPIX  =                    8  /  8-bit ASCII characters                       
NAXIS   =                    1  /  Number of Image Dimensions                   
NAXIS1  =                 3144  /  Length of axis                               
ORIGIN  = 'NOAO-IRAF: WTEXTIMAGE'  /
IRAF-MAX=                   0.  /  Max image pixel (out of date)                
IRAF-MIN=                   0.  /  Min image pixel (out of date)                
IRAF-B/P=                   32  /  Image bits per pixel                         
IRAFTYPE= 'REAL FLOATING     '  /  Image datatype                              
OBJECT  = '08D3GU            '  /                                              
FILENAME= '08D3GUFC_ATM.FITS[*,2,1]'  /
5096.86183714874  -2.736244E-18
5098.22950255878  -3.796543E-18
5099.59716796882  -6.924717E-18
5100.96483337886  -1.439159E-18
5102.3324987889  1.329610E-17
5103.70016419895  8.847188E-18
5105.06782960899  3.103094E-19
5106.43549501903  -1.903356E-18
5107.80316042907  -7.303404E-18
5109.17082583911  7.688816E-18
5110.53849124916  1.226002E-17
5111.9061566592  1.042261E-18
5113.27382206924  -4.192817E-18
5114.64148747928  -8.047877E-18
5116.00915288932  -5.849828E-18
5117.37681829936  8.675217E-18
5118.74448370941  -7.492331E-18
5120.11214911945  -1.274482E-18
5121.47981452949  4.352783E-18
5122.84747993953  -6.042799E-19
5124.21514534957  -2.294378E-18
5125.58281075962  -6.036300E-18
5126.95047616966  8.486708E-18
5128.3181415797  -1.397035E-18
5129.68580698974  4.461664E-18
5131.05347239978  1.819012E-18
5132.42113780982  6.843482E-18
5133.78880321987  6.844795E-18
5135.15646862991  -1.281681E-18
5136.52413403995  2.241096E-18
5137.89179944999  4.611154E-18
5139.25946486003  -2.224653E-18
5140.62713027008  3.710836E-18
5141.99479568012  -3.511537E-18
5143.36246109016  6.772557E-18
5144.7301265002  7.138239E-18
5146.09779191024  -3.170182E-18
5147.46545732028  5.910988E-18
5148.83312273033  -3.251663E-18
5150.20078814037  -9.837137E-19
5151.56845355041  4.734105E-18
5152.93611896045  2.315487E-18
5154.30378437049  3.861652E-18
5155.67144978053  -3.154242E-18
5157.03911519058  4.369164E-18
5158.40678060062  -1.641004E-18
5159.77444601066  2.117842E-19
5161.1421114207  -3.236204E-18
5162.50977683074  -6.800519E-19
5163.87744224079  -2.321064E-18
5165.24510765083  4.122080E-18
5166.61277306087  4.785506E-18
5167.98043847091  4.228703E-18
5169.34810388095  4.803324E-18
5170.715769291  -3.375588E-19
5172.08343470104  2.107679E-20
5173.45110011108  -2.121079E-18
5174.81876552112  1.191442E-18
5176.18643093116  -6.789312E-19
5177.5540963412  -1.098613E-18
5178.92176175125  2.654274E-18
5180.28942716129  1.699495E-18
5181.65709257133  -1.540589E-19
5183.02475798137  1.543547E-18
5184.39242339141  -1.427995E-18
5185.76008880145  9.620416E-19
5187.1277542115  4.438285E-18
5188.49541962154  3.027256E-19
5189.86308503158  -2.241378E-18
5191.23075044162  1.030371E-18
5192.59841585166  4.777302E-18
5193.96608126171  3.634716E-18
5195.33374667175  -2.517624E-18
5196.70141208179  2.834873E-18
5198.06907749183  5.542607E-19
5199.43674290187  -1.282985E-18
5200.80440831192  -1.249019E-18
5202.17207372196  2.645348E-18
5203.539739132  2.776541E-18
5204.90740454204  2.021753E-18
5206.27506995208  1.328883E-19
5207.64273536212  2.335960E-19
5209.01040077217  1.927038E-18
5210.37806618221  8.927062E-19
5211.74573159225  1.139760E-18
5213.11339700229  -2.257614E-19
5214.48106241233  3.737281E-18
5215.84872782237  1.083560E-18
5217.21639323242  2.804941E-18
5218.58405864246  3.442091E-19
5219.9517240525  -1.930712E-18
5221.31938946254  3.418529E-18
5222.68705487258  2.448268E-18
5224.05472028263  3.117422E-18
5225.42238569267  -4.112576E-19
5226.79005110271  2.169569E-18
5228.15771651275  -2.040780E-19
5229.52538192279  3.013288E-18
5230.89304733283  -4.214080E-20
5232.26071274288  1.201152E-18
5233.62837815292  1.897267E-18
5234.99604356296  -2.223983E-19
5236.363708973  7.473670E-19
5237.73137438304  3.863953E-18
5239.09903979308  -9.185160E-19
5240.46670520313  -7.975434E-19
5241.83437061317  1.619594E-18
5243.20203602321  9.738962E-19
5244.56970143325  -1.962215E-19
5245.93736684329  1.053129E-18
5247.30503225334  -1.611183E-19
5248.67269766338  -7.755707E-19
5250.04036307342  1.732476E-18
5251.40802848346  2.367686E-18
5252.7756938935  7.383860E-19
5254.14335930355  -1.687549E-19
5255.51102471359  -5.102570E-19
5256.87869012363  3.287858E-18
5258.24635553367  2.611521E-20
5259.61402094371  8.990950E-19
5260.98168635375  -3.772947E-19
5262.3493517638  1.625320E-18
5263.71701717384  1.484228E-18
5265.08468258388  1.388432E-18
5266.45234799392  -2.086596E-19
5267.82001340396  -4.173462E-19
5269.187678814  -1.240026E-18
5270.55534422405  1.542270E-18
5271.92300963409  1.645154E-18
5273.29067504413  2.083089E-18
5274.65834045417  -4.814544E-19
5276.02600586421  -5.989548E-19
5277.39367127426  1.905077E-18
5278.7613366843  2.676847E-18
5280.12900209434  2.092149E-18
5281.49666750438  2.765739E-19
5282.86433291442  1.842609E-19
5284.23199832447  -4.521640E-19
5285.59966373451  -1.371631E-18
5286.96732914455  9.413877E-19
5288.33499455459  3.160763E-18
5289.70265996463  9.728357E-19
5291.07032537467  -1.547148E-19
5292.43799078472  1.094086E-18
5293.80565619476  1.240747E-18
5295.1733216048  4.589037E-19
5296.54098701484  -8.515964E-19
5297.90865242488  2.830380E-19
5299.27631783492  -2.923693E-19
5300.64398324497  -9.966627E-19
5302.01164865501  -1.235884E-19
5303.37931406505  1.080003E-18
5304.74697947509  -1.404670E-18
5306.11464488513  3.111888E-19
5307.48231029518  7.968971E-19
5308.84997570522  -2.594740E-19
5310.21764111526  2.976146E-18
5311.5853065253  5.483196E-19
5312.95297193534  1.666821E-18
5314.32063734539  -3.097340E-19
5315.68830275543  -1.168104E-18
5317.05596816547  -8.521334E-19
5318.42363357551  2.491240E-19
5319.79129898555  -7.105090E-19
5321.15896439559  1.630384E-18
5322.52662980563  -2.547747E-19
5323.89429521568  1.714202E-18
5325.26196062572  1.666597E-18
5326.62962603576  8.685602E-19
5327.9972914458  -1.806610E-19
5329.36495685584  -5.061715E-19
5330.73262226588  8.570724E-19
5332.10028767593  1.679816E-19
5333.46795308597  -7.625428E-19
5334.83561849601  -1.370823E-19
5336.20328390605  6.405223E-19
5337.57094931609  8.154017E-19
5338.93861472614  5.714697E-19
5340.30628013618  4.678811E-19
5341.67394554622  -1.167192E-19
5343.04161095626  5.972429E-19
5344.4092763663  4.525624E-19
5345.77694177635  -3.092467E-19
5347.14460718639  1.412420E-18
5348.51227259643  -3.367352E-20
5349.87993800647  1.031073E-18
5351.24760341651  7.029785E-19
5352.61526882655  1.845874E-19
5353.9829342366  4.656471E-19
5355.35059964664  -5.090786E-20
5356.71826505668  -3.782497E-19
5358.08593046672  2.832067E-19
5359.45359587676  1.134853E-18
5360.82126128681  4.265977E-19
5362.18892669685  7.991447E-19
5363.55659210689  -5.385316E-20
5364.92425751693  -1.315842E-19
5366.29192292697  8.727368E-19
5367.65958833701  5.876192E-19
5369.02725374706  1.276212E-18
5370.3949191571  -1.614339E-20
5371.76258456714  4.422599E-19
5373.13024997718  6.669487E-19
5374.49791538722  -1.044977E-19
5375.86558079727  -9.265235E-20
5377.23324620731  1.255528E-18
5378.60091161735  -3.174345E-19
5379.96857702739  1.047870E-18
5381.33624243743  1.516081E-18
5382.70390784747  4.877466E-19
5384.07157325752  -8.439507E-20
5385.43923866756  -1.666749E-19
5386.8069040776  -1.106648E-19
5388.17456948764  1.586938E-18
5389.54223489768  2.452262E-18
5390.90990030772  1.441552E-18
5392.27756571777  -4.183360E-19
5393.64523112781  4.152153E-19
5395.01289653785  -5.856060E-19
5396.38056194789  7.341579E-19
5397.74822735793  -1.928504E-19
5399.11589276798  9.464927E-19
5400.48355817802  1.637535E-18
5401.85122358806  5.060618E-19
5403.2188889981  1.161514E-18
5404.58655440814  5.238917E-19
5405.95421981818  2.542312E-19
5407.32188522823  2.224967E-19
5408.68955063827  -6.596057E-19
5410.05721604831  -3.973845E-19
5411.42488145835  -8.773966E-19
5412.79254686839  -7.905009E-19
5414.16021227844  -1.653072E-19
5415.52787768848  1.151849E-18
5416.89554309852  1.799985E-18
5418.26320850856  5.551560E-19
5419.6308739186  2.180824E-19
5420.99853932865  3.238656E-19
5422.36620473869  9.752541E-19
5423.73387014873  3.055409E-18
5425.10153555877  7.438378E-19
5426.46920096881  1.104213E-18
5427.83686637885  4.404563E-19
5429.2045317889  7.730557E-19
5430.57219719894  -9.216435E-19
5431.93986260898  8.708338E-20
5433.30752801902  -3.625581E-20
5434.67519342906  1.364201E-18
5436.0428588391  1.308737E-18
5437.41052424915  1.109125E-18
5438.77818965919  1.944351E-18
5440.14585506923  -2.088849E-19
5441.51352047927  -1.195195E-19
5442.88118588931  1.857866E-18
5444.24885129936  2.002847E-18
5445.6165167094  2.567568E-19
5446.98418211944  2.912477E-19
5448.35184752948  7.407541E-20
5449.71951293952  2.312211E-18
5451.08717834957  1.696363E-18
5452.45484375961  8.186860E-19
5453.82250916965  1.159704E-18
5455.19017457969  7.951321E-19
5456.55783998973  1.464942E-18
5457.92550539977  1.516750E-18
5459.29317080982  1.001574E-18
5460.66083621986  1.006347E-18
5462.0285016299  4.441019E-19
5463.39616703994  1.871216E-18
5464.76383244998  7.528081E-19
5466.13149786002  1.391061E-19
5467.49916327007  -2.696056E-20
5468.86682868011  9.683865E-19
5470.23449409015  1.599391E-19
5471.60215950019  1.512138E-18
5472.96982491023  -4.689531E-20
5474.33749032028  1.473322E-18
5475.70515573032  -3.164722E-19
5477.07282114036  1.261775E-18
5478.4404865504  -1.470199E-19
5479.80815196044  -1.571598E-19
5481.17581737048  -1.476011E-19
5482.54348278053  -1.646272E-19
5483.91114819057  -6.743041E-19
5485.27881360061  3.710362E-19
5486.64647901065  -1.864264E-19
5488.01414442069  3.103631E-19
5489.38180983074  -1.848889E-19
5490.74947524078  2.595516E-19
5492.11714065082  4.050101E-19
5493.48480606086  1.097344E-18
5494.8524714709  2.170443E-19
5496.22013688094  -2.209119E-19
5497.58780229098  -1.876761E-19
5498.95546770103  -4.231777E-19
5500.32313311107  -9.070942E-19
5501.69079852111  -5.957786E-19
5503.05846393115  6.059835E-19
5504.42612934119  -8.985095E-19
5505.79379475124  8.125354E-19
5507.16146016128  1.348152E-19
5508.52912557132  4.369508E-19
5509.89679098136  1.425599E-18
5511.2644563914  7.074539E-19
5512.63212180144  -5.049543E-20
5513.99978721149  -1.210649E-19
5515.36745262153  9.835184E-19
5516.73511803157  1.283843E-19
5518.10278344161  -2.238304E-20
5519.47044885165  7.070133E-20
5520.8381142617  8.756302E-19
5522.20577967174  1.464387E-19
5523.57344508178  1.044679E-18
5524.94111049182  8.316876E-20
5526.30877590186  2.647753E-19
5527.6764413119  7.866741E-19
5529.04410672195  7.269042E-19
5530.41177213199  -2.794727E-19
5531.77943754203  4.595201E-19
5533.14710295207  5.525573E-19
5534.51476836211  1.794551E-19
5535.88243377216  9.196535E-19
5537.2500991822  1.286805E-18
5538.61776459224  3.976520E-19
5539.98543000228  1.700383E-19
5541.35309541232  2.977934E-19
5542.72076082236  -4.069784E-20
5544.08842623241  4.954214E-19
5545.45609164245  1.105984E-18
5546.82375705249  -3.143304E-19
5548.19142246253  -8.711856E-20
5549.55908787257  8.508353E-19
5550.92675328262  1.505614E-20
5552.29441869266  5.702083E-19
5553.6620841027  1.043067E-18
5555.02974951274  5.123730E-19
5556.39741492278  -3.882663E-20
5557.76508033282  1.068958E-18
5559.13274574287  2.805798E-19
5560.50041115291  -3.436213E-19
5561.86807656295  -1.465220E-19
5563.23574197299  5.592986E-19
5564.60340738303  -6.189102E-19
5565.97107279308  -3.930005E-19
5567.33873820312  -4.657135E-19
5568.70640361316  1.461585E-18
5570.0740690232  4.109499E-19
5571.44173443324  -2.919268E-19
5572.80939984328  -1.898303E-19
5574.17706525333  -7.182048E-19
5575.54473066337  2.813014E-18
5576.91239607341  1.176736E-18
5578.28006148345  1.495914E-18
5579.64772689349  1.228719E-18
5581.01539230354  8.486376E-19
5582.38305771358  3.393163E-19
5583.75072312362  7.651420E-19
5585.11838853366  7.630102E-19
5586.4860539437  1.467589E-19
5587.85371935374  1.003307E-18
5589.22138476379  8.113047E-19
5590.58905017383  1.338226E-19
5591.95671558387  8.912858E-19
5593.32438099391  3.632464E-19
5594.69204640396  -1.695100E-20
5596.059711814  -3.966925E-19
5597.42737722404  6.417285E-19
5598.79504263408  2.372641E-19
5600.16270804412  1.800534E-19
5601.53037345416  -2.712867E-19
5602.8980388642  2.533528E-19
5604.26570427425  -5.255632E-19
5605.63336968429  -1.009253E-19
5607.00103509433  7.804606E-19
5608.36870050437  6.833379E-19
5609.73636591441  4.921371E-19
5611.10403132446  1.677394E-18
5612.4716967345  1.243816E-20
5613.83936214454  7.826900E-19
5615.20702755458  1.043122E-18
5616.57469296462  4.312680E-19
5617.94235837466  8.988350E-19
5619.31002378471  -9.511096E-20
5620.67768919475  4.049966E-19
5622.04535460479  9.838197E-19
5623.41302001483  -2.581728E-19
5624.78068542487  1.389222E-18
5626.14835083491  6.720013E-19
5627.51601624496  1.544537E-18
5628.883681655  9.664466E-19
5630.25134706504  -6.155774E-22
5631.61901247508  9.135785E-19
5632.98667788512  7.346172E-19
5634.35434329517  6.952368E-19
5635.72200870521  4.225795E-19
5637.08967411525  -6.349947E-19
5638.45733952529  3.731601E-19
5639.82500493533  1.334124E-19
5641.19267034537  1.074627E-18
5642.56033575542  3.908549E-19
5643.92800116546  -4.080854E-19
5645.2956665755  7.729724E-19
5646.66333198554  6.288381E-19
5648.03099739558  7.972052E-19
5649.39866280563  4.509089E-19
5650.76632821567  7.963135E-19
5652.13399362571  -2.186668E-19
5653.50165903575  -3.552302E-20
5654.86932444579  1.245595E-19
5656.23698985583  2.923571E-19
5657.60465526588  -9.152579E-20
5658.97232067592  5.907159E-20
5660.33998608596  9.193827E-19
5661.707651496  9.270585E-19
5663.07531690604  4.820530E-19
5664.44298231608  1.172826E-19
5665.81064772613  4.404254E-19
5667.17831313617  5.973082E-19
5668.54597854621  7.410164E-20
5669.91364395625  5.140497E-19
5671.28130936629  -1.174085E-19
5672.64897477634  -1.219150E-19
5674.01664018638  3.088483E-20
5675.38430559642  3.603941E-20
5676.75197100646  -2.474771E-19
5678.1196364165  4.198010E-19
5679.48730182655  8.606023E-19
5680.85496723659  9.147910E-19
5682.22263264663  1.224971E-19
5683.59029805667  -5.136690E-19
5684.95796346671  8.705634E-19
5686.32562887675  3.973043E-19
5687.6932942868  6.985362E-19
5689.06095969684  -2.457807E-19
5690.42862510688  6.414108E-19
5691.79629051692  -1.738861E-19
5693.16395592696  4.061089E-19
5694.531621337  -1.016661E-19
5695.89928674705  1.433724E-19
5697.26695215709  5.705407E-20
5698.63461756713  -4.474074E-19
5700.00228297717  -1.563295E-19
5701.36994838721  -1.592324E-19
5702.73761379726  1.069417E-21
5704.1052792073  3.570028E-19
5705.47294461734  1.335779E-19
5706.84061002738  -2.229657E-19
5708.20827543742  5.146997E-19
5709.57594084747  2.959523E-19
5710.94360625751  6.232327E-19
5712.31127166755  -5.072556E-19
5713.67893707759  -2.096455E-19
5715.04660248763  4.287829E-19
5716.41426789767  3.278051E-19
5717.78193330772  -5.233841E-21
5719.14959871776  -2.485136E-19
5720.5172641278  5.396588E-19
5721.88492953784  -2.328368E-19
5723.25259494788  -6.065432E-19
5724.62026035792  -2.810227E-19
5725.98792576797  5.281031E-19
5727.35559117801  7.496843E-19
5728.72325658805  5.743277E-19
5730.09092199809  -1.205492E-20
5731.45858740813  3.679156E-19
5732.82625281818  -1.943382E-19
5734.19391822822  9.222869E-19
5735.56158363826  8.823806E-19
5736.9292490483  5.625369E-19
5738.29691445834  5.411050E-19
5739.66457986839  -1.656683E-19
5741.03224527843  9.041108E-19
5742.39991068847  3.262161E-19
5743.76757609851  1.565524E-19
5745.13524150855  8.605974E-19
5746.50290691859  3.861098E-19
5747.87057232864  7.117931E-19
5749.23823773868  1.968329E-19
5750.60590314872  5.004525E-19
5751.97356855876  4.176197E-19
5753.3412339688  -1.029818E-19
5754.70889937884  -2.742170E-20
5756.07656478889  6.186416E-19
5757.44423019893  4.796663E-19
5758.81189560897  1.131109E-18
5760.17956101901  -2.119878E-19
5761.54722642905  3.324289E-19
5762.9148918391  7.692368E-20
5764.28255724914  3.452649E-19
5765.65022265918  -2.022123E-19
5767.01788806922  -2.188028E-19
5768.38555347926  3.974801E-20
5769.7532188893  -5.478489E-19
5771.12088429935  -2.203348E-19
5772.48854970939  1.398206E-20
5773.85621511943  5.234059E-20
5775.22388052947  -9.223456E-20
5776.59154593951  -5.390389E-19
5777.95921134956  5.370706E-19
5779.3268767596  4.142059E-20
5780.69454216964  1.918780E-18
5782.06220757968  4.298105E-19
5783.42987298972  -7.756934E-19
5784.79753839976  6.255001E-20
5786.16520380981  6.531700E-19
5787.53286921985  -1.707680E-19
5788.90053462989  4.666114E-19
5790.26820003993  5.305895E-19
5791.63586544997  4.271397E-19
5793.00353086002  8.931887E-19
5794.37119627006  1.084503E-18
5795.7388616801  5.007792E-19
5797.10652709014  8.104059E-19
5798.47419250018  5.861629E-19
5799.84185791022  5.820359E-19
5801.20952332027  3.979458E-19
5802.57718873031  8.696098E-19
5803.94485414035  7.035445E-19
5805.31251955039  4.876475E-20
5806.68018496043  -2.331188E-19
5808.04785037047  7.441342E-19
5809.41551578052  3.774342E-19
5810.78318119056  5.066681E-19
5812.1508466006  2.693358E-20
5813.51851201064  -2.420846E-19
5814.88617742068  5.314547E-19
5816.25384283073  4.305745E-19
5817.62150824077  6.018765E-19
5818.98917365081  5.716927E-19
5820.35683906085  4.794056E-19
5821.72450447089  3.918220E-19
5823.09216988094  -2.556043E-19
5824.45983529098  2.882662E-19
5825.82750070102  4.226921E-19
5827.19516611106  2.250831E-19
5828.5628315211  -9.925768E-20
5829.93049693114  3.131008E-19
5831.29816234119  5.652633E-19
5832.66582775123  2.940917E-19
5834.03349316127  9.035830E-19
5835.40115857131  1.013688E-18
5836.76882398135  2.656483E-19
5838.13648939139  1.646865E-19
5839.50415480144  7.007411E-19
5840.87182021148  8.153543E-19
5842.23948562152  8.396311E-19
5843.60715103156  5.152117E-19
5844.9748164416  5.794387E-19
5846.34248185165  8.669937E-19
5847.71014726169  4.493307E-19
5849.07781267173  6.197490E-19
5850.44547808177  9.721105E-19
5851.81314349181  5.818545E-19
5853.18080890185  -2.248607E-19
5854.5484743119  2.828165E-20
5855.91613972194  3.924508E-19
5857.28380513198  3.036150E-19
5858.65147054202  4.325401E-19
5860.01913595206  -6.199794E-22
5861.3868013621  3.457917E-19
5862.75446677215  9.000789E-19
5864.12213218219  -1.149779E-19
5865.48979759223  -3.845582E-19
5866.85746300227  6.373045E-19
5868.22512841231  9.415121E-19
5869.59279382236  8.159066E-19
5870.9604592324  4.353651E-19
5872.32812464244  5.875322E-19
5873.69579005248  9.400916E-19
5875.06345546252  5.124608E-19
5876.43112087257  9.578726E-20
5877.79878628261  3.733012E-19
5879.16645169265  2.262917E-19
5880.53411710269  4.538836E-19
5881.90178251273  1.054558E-18
5883.26944792277  8.618919E-19
5884.63711333282  5.158381E-19
5886.00477874286  -2.109533E-19
5887.3724441529  1.185295E-19
5888.74010956294  2.799838E-21
5890.10777497298  6.399083E-19
5891.47544038302  5.031274E-19
5892.84310579307  5.378493E-19
5894.21077120311  1.010779E-20
5895.57843661315  -2.107825E-19
5896.94610202319  5.042965E-19
5898.31376743323  9.779694E-19
5899.68143284328  5.863732E-19
5901.04909825332  3.212451E-19
5902.41676366336  3.025281E-19
5903.7844290734  8.829520E-19
5905.15209448344  3.230992E-19
5906.51975989348  3.032945E-19
5907.88742530353  3.395729E-19
5909.25509071357  -1.684791E-19
5910.62275612361  3.137913E-20
5911.99042153365  1.108893E-19
5913.35808694369  3.123986E-20
5914.72575235373  1.274568E-19
5916.09341776378  8.872106E-19
5917.46108317382  6.219433E-19
5918.82874858386  1.394308E-19
5920.1964139939  1.165389E-18
5921.56407940394  2.852229E-19
5922.93174481399  1.863528E-19
5924.29941022403  6.522966E-19
5925.66707563407  1.455091E-19
5927.03474104411  2.570550E-19
5928.40240645415  5.771128E-19
5929.77007186419  3.963691E-19
5931.13773727424  -1.274217E-20
5932.50540268428  7.418971E-19
5933.87306809432  -4.694486E-20
5935.24073350436  6.221684E-19
5936.6083989144  7.311966E-19
5937.97606432445  7.480464E-19
5939.34372973449  6.092185E-19
5940.71139514453  1.605708E-19
5942.07906055457  9.348006E-19
5943.44672596461  -2.080629E-19
5944.81439137465  6.908642E-19
5946.1820567847  4.056743E-19
5947.54972219474  3.735707E-19
5948.91738760478  8.764885E-19
5950.28505301482  7.414269E-19
5951.65271842486  -6.402106E-20
5953.02038383491  4.946683E-19
5954.38804924495  5.717920E-19
5955.75571465499  4.224214E-19
5957.12338006503  -5.209810E-20
5958.49104547507  4.328683E-19
5959.85871088512  4.805008E-19
5961.22637629516  5.763789E-19
5962.5940417052  7.316937E-19
5963.96170711524  -4.465442E-19
5965.32937252528  -4.514135E-21
5966.69703793532  4.853403E-19
5968.06470334536  7.311615E-19
5969.43236875541  2.179322E-19
5970.80003416545  3.187944E-19
5972.16769957549  1.505545E-19
5973.53536498553  7.823608E-19
5974.90303039557  7.978881E-19
5976.27069580562  3.611885E-19
5977.63836121566  4.482036E-19
5979.0060266257  6.977175E-20
5980.37369203574  3.757399E-19
5981.74135744578  5.487591E-19
5983.10902285583  2.821219E-19
5984.47668826587  3.892285E-20
5985.84435367591  5.180852E-19
5987.21201908595  3.214038E-19
5988.57968449599  -5.695493E-20
5989.94734990603  4.375348E-19
5991.31501531608  3.469667E-19
5992.68268072612  4.524783E-19
5994.05034613616  1.159184E-21
5995.4180115462  5.023254E-19
5996.78567695624  -1.967970E-19
5998.15334236629  5.820953E-19
5999.52100777633  6.633667E-19
6000.88867318637  5.590961E-19
6002.25633859641  6.224950E-19
6003.62400400645  7.559112E-19
6004.99166941649  3.766939E-19
6006.35933482654  7.663232E-19
6007.72700023658  -3.538419E-19
6009.09466564662  3.649993E-19
6010.46233105666  1.444118E-19
6011.8299964667  6.407560E-19
6013.19766187674  -4.066529E-20
6014.56532728679  2.579368E-19
6015.93299269683  6.918799E-19
6017.30065810687  1.152323E-19
6018.66832351691  2.053545E-20
6020.03598892695  4.855020E-19
6021.40365433699  -7.816128E-20
6022.77131974704  6.873587E-20
6024.13898515708  5.491380E-19
6025.50665056712  2.864552E-19
6026.87431597716  3.970974E-19
6028.2419813872  5.556072E-19
6029.60964679725  -3.976133E-19
6030.97731220729  -1.289284E-19
6032.34497761733  3.474424E-19
6033.71264302737  4.154764E-19
6035.08030843741  4.910219E-19
6036.44797384746  4.213069E-19
6037.8156392575  6.684774E-19
6039.18330466754  5.815933E-19
6040.55097007758  3.670445E-19
6041.91863548762  -1.169184E-19
6043.28630089766  -2.191857E-19
6044.65396630771  -1.973802E-19
6046.02163171775  6.517969E-19
6047.38929712779  1.670971E-19
6048.75696253783  4.040069E-19
6050.12462794787  3.054978E-19
6051.49229335791  2.376469E-19
6052.85995876796  4.682003E-19
6054.227624178  5.228590E-19
6055.59528958804  4.792172E-19
6056.96295499808  4.634415E-19
6058.33062040812  4.126835E-19
6059.69828581817  4.252984E-19
