BITPIX  =                    8  /  8-bit ASCII characters                       
NAXIS   =                    1  /  Number of Image Dimensions                   
NAXIS1  =                 3141  /  Length of axis                               
ORIGIN  = 'NOAO-IRAF: WTEXTIMAGE'  /
IRAF-MAX=                   0.  /  Max image pixel                              
IRAF-MIN=                   0.  /  Min image pixel                              
IRAF-B/P=                   32  /  Image bits per pixel                         
IRAFTYPE= 'REAL FLOATING     '  /  Image datatype                              
OBJECT  = '08D2AD            '  /                                              
FILENAME= 'VERSION3FC_RECAL2_ATM[*,1,1]'  /
5104.53956985478  9.187250E-18
5105.90737247471  2.376430E-18
5107.27517509465  5.243681E-18
5108.64297771458  6.835744E-18
5110.01078033451  9.166129E-18
5111.37858295445  9.941072E-19
5112.74638557438  5.700977E-18
5114.11418819432  3.377545E-19
5115.48199081425  -1.173944E-18
5116.84979343418  3.240719E-18
5118.21759605412  2.388634E-18
5119.58539867405  1.778632E-18
5120.95320129399  -2.495250E-18
5122.32100391392  -3.141669E-18
5123.68880653386  2.720167E-19
5125.05660915379  -1.964940E-18
5126.42441177372  -1.594870E-18
5127.79221439366  1.295095E-18
5129.16001701359  4.037204E-18
5130.52781963352  4.268388E-18
5131.89562225346  5.089828E-18
5133.26342487339  3.088483E-18
5134.63122749333  3.849039E-18
5135.99903011326  1.299651E-18
5137.36683273319  3.658111E-18
5138.73463535313  5.327962E-18
5140.10243797306  6.993368E-18
5141.470240593  4.834867E-18
5142.83804321293  1.049526E-18
5144.20584583287  -1.764704E-19
5145.5736484528  6.337185E-18
5146.94145107274  6.745041E-18
5148.30925369267  3.545694E-18
5149.6770563126  -1.762828E-18
5151.04485893254  -4.801016E-20
5152.41266155247  1.089955E-18
5153.78046417241  -3.424226E-19
5155.14826679234  2.739290E-18
5156.51606941227  -1.210269E-19
5157.88387203221  -3.923351E-18
5159.25167465214  1.607412E-18
5160.61947727208  2.955093E-18
5161.98727989201  -1.004383E-18
5163.35508251194  -2.713027E-18
5164.72288513188  -8.011105E-19
5166.09068775181  1.487141E-19
5167.45849037175  2.796572E-18
5168.82629299168  -7.406610E-19
5170.19409561162  2.799862E-19
5171.56189823155  3.033208E-19
5172.92970085148  8.009291E-20
5174.29750347142  -1.842080E-19
5175.66530609135  -2.100198E-19
5177.03310871128  1.487935E-19
5178.40091133122  -1.439197E-18
5179.76871395115  9.242062E-19
5181.13651657109  2.205343E-18
5182.50431919102  6.539337E-19
5183.87212181096  1.134487E-18
5185.23992443089  -2.901730E-18
5186.60772705082  5.458337E-20
5187.97552967076  -1.805799E-18
5189.34333229069  2.400989E-18
5190.71113491063  -1.260268E-18
5192.07893753056  -8.799877E-19
5193.44674015049  8.063245E-19
5194.81454277043  -3.810907E-19
5196.18234539036  2.977335E-18
5197.5501480103  1.517737E-18
5198.91795063023  1.617335E-18
5200.28575325016  -1.124710E-19
5201.6535558701  -2.680568E-19
5203.02135849003  1.890792E-18
5204.38916110997  1.467586E-18
5205.7569637299  1.478668E-18
5207.12476634983  -1.174734E-18
5208.49256896977  1.191173E-18
5209.8603715897  -6.131173E-19
5211.22817420964  -5.448548E-19
5212.59597682957  1.482611E-18
5213.96377944951  6.904067E-19
5215.33158206944  3.017733E-20
5216.69938468937  8.529335E-19
5218.06718730931  -5.343281E-20
5219.43498992924  1.455224E-18
5220.80279254918  4.125299E-19
5222.17059516911  1.315913E-18
5223.53839778904  2.081606E-18
5224.90620040898  3.052388E-19
5226.27400302891  9.919782E-19
5227.64180564885  -4.544614E-19
5229.00960826878  -3.027385E-19
5230.37741088872  -8.636534E-19
5231.74521350865  1.775146E-18
5233.11301612858  -4.230151E-19
5234.48081874852  1.538072E-18
5235.84862136845  -1.328496E-18
5237.21642398839  1.656488E-18
5238.58422660832  1.340335E-18
5239.95202922825  -1.641251E-18
5241.31983184819  5.668560E-19
5242.68763446812  2.472602E-18
5244.05543708806  7.805027E-20
5245.42323970799  6.651003E-19
5246.79104232792  1.219869E-18
5248.15884494786  9.920513E-19
5249.52664756779  8.790910E-20
5250.89445018773  1.355569E-19
5252.26225280766  -4.273572E-19
5253.63005542759  2.073360E-18
5254.99785804753  9.291418E-21
5256.36566066746  -2.939073E-19
5257.7334632874  -3.821128E-19
5259.10126590733  -7.853502E-19
5260.46906852727  4.725988E-19
5261.8368711472  -1.558491E-18
5263.20467376713  -7.337947E-19
5264.57247638707  -6.851282E-19
5265.940279007  9.111721E-19
5267.30808162693  1.733072E-18
5268.67588424687  -9.143667E-19
5270.0436868668  3.696255E-19
5271.41148948674  -3.159983E-19
5272.77929210667  7.177765E-19
5274.14709472661  -3.331694E-19
5275.51489734654  1.276643E-18
5276.88269996647  -6.508751E-19
5278.25050258641  -6.822689E-19
5279.61830520634  3.268529E-19
5280.98610782628  -1.695971E-19
5282.35391044621  -4.916539E-19
5283.72171306615  -7.766572E-19
5285.08951568608  1.256740E-19
5286.45731830601  1.655064E-18
5287.82512092595  9.255021E-19
5289.19292354588  8.732305E-19
5290.56072616582  1.559152E-19
5291.92852878575  3.322567E-19
5293.29633140568  3.147025E-19
5294.66413402562  -7.826079E-19
5296.03193664555  1.972248E-18
5297.39973926549  1.032848E-19
5298.76754188542  -2.542444E-20
5300.13534450536  -2.933031E-20
5301.50314712529  3.118098E-19
5302.87094974522  -1.344063E-19
5304.23875236516  9.068078E-19
5305.60655498509  2.019259E-19
5306.97435760503  1.109285E-18
5308.34216022496  1.430389E-18
5309.70996284489  1.192268E-18
5311.07776546483  5.832463E-19
5312.44556808476  8.932099E-19
5313.8133707047  8.651236E-19
5315.18117332463  1.008526E-18
5316.54897594456  8.312982E-19
5317.9167785645  2.720931E-19
5319.28458118443  1.124785E-18
5320.65238380437  1.106754E-18
5322.0201864243  -2.103511E-19
5323.38798904423  -7.032703E-21
5324.75579166417  3.334089E-19
5326.1235942841  1.387878E-18
5327.49139690404  2.210508E-19
5328.85919952397  6.682447E-19
5330.22700214391  -5.953028E-19
5331.59480476384  7.245451E-19
5332.96260738377  1.494887E-18
5334.33041000371  5.879295E-19
5335.69821262364  8.871923E-19
5337.06601524357  6.765036E-19
5338.43381786351  1.292057E-18
5339.80162048344  -1.942476E-20
5341.16942310338  -9.163674E-19
5342.53722572331  1.647846E-18
5343.90502834325  1.494969E-19
5345.27283096318  4.355459E-20
5346.64063358311  5.465956E-19
5348.00843620305  -4.227849E-19
5349.37623882298  2.612416E-19
5350.74404144292  1.433615E-18
5352.11184406285  -2.300320E-19
5353.47964668278  5.198162E-19
5354.84744930272  6.565376E-19
5356.21525192265  -2.335294E-19
5357.58305454259  9.521681E-20
5358.95085716252  6.138485E-19
5360.31865978245  1.003473E-18
5361.68646240239  -3.898122E-19
5363.05426502232  9.269443E-20
5364.42206764226  5.241693E-19
5365.78987026219  2.991801E-19
5367.15767288212  4.803714E-19
5368.52547550206  1.144436E-18
5369.89327812199  1.262224E-18
5371.26108074193  3.463592E-19
5372.62888336186  5.264122E-19
5373.9966859818  4.684159E-19
5375.36448860173  6.947084E-19
5376.73229122166  9.262196E-19
5378.1000938416  1.373306E-18
5379.46789646153  1.485628E-18
5380.83569908147  -3.646500E-19
5382.2035017014  -7.028648E-20
5383.57130432133  1.747973E-18
5384.93910694127  1.197364E-18
5386.3069095612  3.312836E-19
5387.67471218114  1.524680E-18
5389.04251480107  -2.937325E-19
5390.410317421  9.040648E-19
5391.77812004094  1.593834E-18
5393.14592266087  3.910929E-19
5394.51372528081  1.268696E-18
5395.88152790074  9.835221E-19
5397.24933052068  9.189605E-19
5398.61713314061  -1.577985E-19
5399.98493576054  9.126056E-19
5401.35273838048  1.855210E-18
5402.72054100041  1.454781E-18
5404.08834362035  9.451114E-19
5405.45614624028  7.460806E-19
5406.82394886021  1.074566E-18
5408.19175148015  -3.208899E-19
5409.55955410008  5.499505E-19
5410.92735672002  3.271850E-19
5412.29515933995  -8.583777E-20
5413.66296195988  -3.848841E-19
5415.03076457982  2.116450E-19
5416.39856719975  -9.313849E-20
5417.76636981969  1.507625E-18
5419.13417243962  9.151798E-19
5420.50197505956  2.984362E-19
5421.86977767949  7.285786E-19
5423.23758029942  1.076210E-18
5424.60538291936  1.143234E-18
5425.97318553929  6.949569E-19
5427.34098815923  -3.212023E-19
5428.70879077916  3.221720E-19
5430.07659339909  3.808427E-19
5431.44439601903  5.166435E-19
5432.81219863896  7.026069E-19
5434.1800012589  -6.016293E-19
5435.54780387883  6.675105E-19
5436.91560649876  1.362417E-18
5438.2834091187  3.861859E-20
5439.65121173863  -1.208991E-19
5441.01901435857  8.125395E-19
5442.3868169785  -6.195320E-20
5443.75461959844  -2.425937E-19
5445.12242221837  9.071954E-19
5446.4902248383  1.752800E-18
5447.85802745824  6.040305E-19
5449.22583007817  1.224010E-18
5450.5936326981  5.133248E-19
5451.96143531804  9.748338E-19
5453.32923793797  1.445140E-18
5454.69704055791  1.190009E-18
5456.06484317784  8.590433E-19
5457.43264579778  6.681778E-19
5458.80044841771  3.649046E-19
5460.16825103765  9.134131E-19
5461.53605365758  -4.497471E-19
5462.90385627751  7.071378E-19
5464.27165889745  9.258507E-19
5465.63946151738  -1.866879E-20
5467.00726413732  5.072588E-19
5468.37506675725  6.260363E-19
5469.74286937718  1.394620E-18
5471.11067199712  7.921783E-19
5472.47847461705  5.735798E-19
5473.84627723699  8.558022E-19
5475.21407985692  7.986113E-19
5476.58188247685  6.234674E-19
5477.94968509679  8.628148E-19
5479.31748771672  6.770632E-19
5480.68529033666  7.055746E-20
5482.05309295659  6.939248E-19
5483.42089557652  9.571525E-19
5484.78869819646  1.269917E-18
5486.15650081639  9.307164E-19
5487.52430343633  8.014921E-19
5488.89210605626  5.146108E-19
5490.25990867619  6.724520E-19
5491.62771129613  7.089391E-19
5492.99551391606  1.542746E-19
5494.363316536  1.171061E-18
5495.73111915593  9.331452E-19
5497.09892177586  7.327494E-19
5498.4667243958  4.959508E-19
5499.83452701573  -1.425513E-19
5501.20232963567  1.024178E-18
5502.5701322556  1.057965E-18
5503.93793487554  3.239659E-19
5505.30573749547  1.104874E-18
5506.6735401154  4.825970E-19
5508.04134273534  1.183186E-18
5509.40914535527  1.261423E-18
5510.77694797521  5.077561E-19
5512.14475059514  1.325510E-18
5513.51255321507  6.195675E-19
5514.88035583501  6.060490E-19
5516.24815845494  1.098281E-18
5517.61596107488  1.198471E-18
5518.98376369481  5.933893E-19
5520.35156631475  3.995339E-19
5521.71936893468  9.139536E-19
5523.08717155461  1.445892E-18
5524.45497417455  8.176472E-19
5525.82277679448  1.412181E-19
5527.19057941442  9.781915E-19
5528.55838203435  1.392086E-18
5529.92618465428  6.952342E-19
5531.29398727422  6.778504E-19
5532.66178989415  1.048504E-18
5534.02959251409  1.461254E-18
5535.39739513402  1.149909E-18
5536.76519775395  3.223703E-19
5538.13300037389  6.917216E-19
5539.50080299382  5.011078E-19
5540.86860561376  9.371511E-19
5542.23640823369  1.004342E-18
5543.60421085362  6.863881E-19
5544.97201347356  7.067044E-19
5546.33981609349  -5.196797E-21
5547.70761871343  1.583756E-19
5549.07542133336  1.510652E-18
5550.44322395329  1.278809E-18
5551.81102657323  8.664081E-19
5553.17882919316  1.931509E-18
5554.5466318131  1.197973E-18
5555.91443443303  1.084184E-18
5557.28223705297  5.984532E-19
5558.6500396729  6.077487E-19
5560.01784229283  8.114859E-19
5561.38564491277  1.234760E-18
5562.7534475327  7.331855E-19
5564.12125015264  1.755721E-18
5565.48905277257  1.255941E-18
5566.8568553925  4.781818E-19
5568.22465801244  7.363066E-19
5569.59246063237  6.910590E-19
5570.96026325231  5.570798E-19
5572.32806587224  2.984964E-19
5573.69586849218  -4.164357E-19
5575.06367111211  7.548355E-19
5576.43147373204  1.133211E-18
5577.79927635198  2.128030E-19
5579.16707897191  1.101137E-18
5580.53488159185  6.523934E-19
5581.90268421178  9.141166E-19
5583.27048683171  1.246041E-18
5584.63828945165  9.462797E-19
5586.00609207158  5.700684E-19
5587.37389469152  9.676302E-19
5588.74169731145  5.217246E-19
5590.10949993138  2.013814E-19
5591.47730255132  1.316869E-18
5592.84510517125  1.040662E-18
5594.21290779119  1.269585E-18
5595.58071041112  7.894415E-19
5596.94851303106  1.051757E-18
5598.31631565099  1.729226E-18
5599.68411827092  1.186648E-18
5601.05192089086  5.107687E-19
5602.41972351079  1.177314E-18
5603.78752613073  1.415491E-18
5605.15532875066  1.567358E-18
5606.52313137059  6.452770E-19
5607.89093399053  3.362098E-19
5609.25873661046  6.123829E-19
5610.6265392304  1.195930E-18
5611.99434185033  1.051705E-18
5613.36214447026  4.460073E-19
5614.7299470902  6.545558E-19
5616.09774971013  1.012286E-18
5617.46555233007  1.287055E-18
5618.83335495  8.010234E-19
5620.20115756993  2.786522E-19
5621.56896018987  8.104102E-19
5622.9367628098  8.269068E-19
5624.30456542974  1.500138E-18
5625.67236804967  -8.252951E-20
5627.0401706696  3.542624E-19
5628.40797328954  3.756118E-19
5629.77577590947  9.237152E-19
5631.14357852941  8.885599E-19
5632.51138114934  8.660255E-19
5633.87918376928  7.474123E-19
5635.24698638921  5.191973E-19
5636.61478900914  9.322019E-19
5637.98259162908  1.543929E-18
5639.35039424901  9.672096E-19
5640.71819686895  7.517804E-19
5642.08599948888  7.550441E-19
5643.45380210881  1.337565E-18
5644.82160472875  1.406436E-19
5646.18940734868  5.803785E-19
5647.55720996862  1.124247E-18
5648.92501258855  8.347242E-19
5650.29281520848  1.328125E-19
5651.66061782842  8.321250E-19
5653.02842044835  4.988890E-19
5654.39622306829  4.820146E-19
5655.76402568822  6.516068E-19
5657.13182830815  6.893643E-19
5658.49963092809  1.132797E-18
5659.86743354802  1.296845E-18
5661.23523616796  8.641488E-19
5662.60303878789  6.819732E-19
5663.97084140782  8.061706E-19
5665.33864402776  9.959568E-19
5666.70644664769  1.095344E-18
5668.07424926763  7.370169E-19
5669.44205188756  8.423161E-19
5670.8098545075  1.227827E-18
5672.17765712743  1.025919E-18
5673.54545974736  1.200551E-18
5674.9132623673  1.409413E-18
5676.28106498723  9.968944E-19
5677.64886760717  1.010966E-18
5679.0166702271  1.755863E-19
5680.38447284703  3.818911E-19
5681.75227546697  8.965339E-19
5683.1200780869  6.703979E-19
5684.48788070684  5.715521E-19
5685.85568332677  5.161901E-19
5687.2234859467  8.666836E-19
5688.59128856664  5.329218E-19
5689.95909118657  5.051592E-19
5691.32689380651  4.256983E-19
5692.69469642644  1.036486E-18
5694.06249904638  9.494379E-19
5695.43030166631  8.066240E-19
5696.79810428624  7.304725E-19
5698.16590690618  4.730640E-19
5699.53370952611  9.229982E-19
5700.90151214605  7.215982E-19
5702.26931476598  6.679019E-19
5703.63711738591  1.226138E-18
5705.00492000585  1.004298E-18
5706.37272262578  1.216049E-19
5707.74052524572  1.384699E-19
5709.10832786565  2.188137E-19
5710.47613048559  -2.311732E-19
5711.84393310552  6.374077E-19
5713.21173572545  8.951370E-19
5714.57953834539  6.144582E-19
5715.94734096532  9.014421E-19
5717.31514358526  5.640041E-19
5718.68294620519  4.882564E-19
5720.05074882512  4.911968E-19
5721.41855144506  5.167215E-19
5722.78635406499  1.039470E-18
5724.15415668493  8.721880E-19
5725.52195930486  7.041139E-19
5726.88976192479  1.715438E-19
5728.25756454473  6.058943E-19
5729.62536716466  6.216053E-19
5730.9931697846  7.517803E-19
5732.36097240453  2.526634E-19
5733.72877502447  1.591387E-19
5735.0965776444  4.699338E-21
5736.46438026433  5.501311E-19
5737.83218288427  4.289460E-19
5739.1999855042  4.832945E-19
5740.56778812414  -6.535845E-20
5741.93559074407  6.043656E-19
5743.303393364  3.870626E-19
5744.67119598394  8.112337E-19
5746.03899860387  4.993101E-19
5747.40680122381  3.229818E-19
5748.77460384374  2.691290E-19
5750.14240646367  5.111741E-19
5751.51020908361  6.716218E-19
5752.87801170354  7.972215E-19
5754.24581432348  8.533314E-20
5755.61361694341  8.272069E-20
5756.98141956334  4.620053E-19
5758.34922218328  8.960192E-21
5759.71702480321  9.368594E-19
5761.08482742315  1.153579E-19
5762.45263004308  9.207710E-19
5763.82043266301  4.877164E-19
5765.18823528295  3.884290E-19
5766.55603790288  5.334427E-19
5767.92384052282  4.567337E-19
5769.29164314275  8.756223E-19
5770.65944576269  5.322499E-19
5772.02724838262  1.473500E-19
5773.39505100256  -6.594332E-20
5774.76285362249  6.074305E-19
5776.13065624242  6.934593E-19
5777.49845886236  8.069482E-19
5778.86626148229  9.419397E-19
5780.23406410222  8.816392E-19
5781.60186672216  5.515610E-19
5782.96966934209  3.645286E-19
5784.33747196203  5.593374E-19
5785.70527458196  8.428990E-19
5787.07307720189  7.949250E-19
5788.44087982183  8.851405E-19
5789.80868244176  8.683154E-19
5791.1764850617  1.249730E-18
5792.54428768163  1.541999E-18
5793.91209030157  1.446986E-18
5795.2798929215  8.316546E-19
5796.64769554143  9.801046E-19
5798.01549816137  1.165757E-18
5799.3833007813  1.041398E-18
5800.75110340124  7.774723E-19
5802.11890602117  3.770817E-19
5803.4867086411  4.261503E-19
5804.85451126104  4.091296E-19
5806.22231388097  7.433625E-19
5807.59011650091  6.440503E-19
5808.95791912084  3.231068E-19
5810.32572174077  5.674144E-19
5811.69352436071  6.588982E-19
5813.06132698064  3.763569E-19
5814.42912960058  7.314950E-19
5815.79693222051  7.488210E-19
5817.16473484044  5.002816E-19
5818.53253746038  5.695758E-19
5819.90034008031  4.220382E-19
5821.26814270025  6.486731E-19
5822.63594532018  3.214264E-19
5824.00374794011  2.856623E-19
5825.37155056005  5.444504E-19
5826.73935317998  5.431496E-19
5828.10715579992  4.361594E-19
5829.47495841985  7.867211E-19
5830.84276103979  6.808889E-19
5832.21056365972  6.493269E-19
5833.57836627965  6.665505E-20
5834.94616889959  4.112766E-19
5836.31397151952  -9.896992E-20
5837.68177413946  -3.378412E-20
5839.04957675939  -2.362249E-19
5840.41737937933  1.010055E-18
5841.78518199926  6.586186E-19
5843.15298461919  3.425552E-20
5844.52078723913  5.118074E-19
5845.88858985906  4.059630E-19
5847.256392479  5.622973E-19
5848.62419509893  7.050012E-19
5849.99199771886  8.401929E-19
5851.3598003388  2.444634E-19
5852.72760295873  3.283032E-19
5854.09540557867  4.290034E-19
5855.4632081986  6.180023E-19
5856.83101081853  6.260948E-19
5858.19881343847  1.557857E-19
5859.5666160584  4.807809E-19
5860.93441867834  -1.055534E-20
5862.30222129827  1.314893E-19
5863.6700239182  4.914433E-19
5865.03782653814  2.216918E-19
5866.40562915807  1.166007E-19
5867.77343177801  6.380530E-19
5869.14123439794  5.027776E-19
5870.50903701788  9.968652E-19
5871.87683963781  8.360197E-19
5873.24464225774  3.989219E-19
5874.61244487768  3.527936E-19
5875.98024749761  5.031545E-19
5877.34805011755  1.018844E-19
5878.71585273748  5.549140E-19
5880.08365535741  5.328004E-19
5881.45145797735  5.331805E-19
5882.81926059728  8.636511E-19
5884.18706321722  4.982570E-19
5885.55486583715  6.281757E-19
5886.92266845708  1.020225E-18
5888.29047107702  1.272081E-18
5889.65827369695  7.799164E-19
5891.02607631689  1.241172E-18
5892.39387893682  1.053756E-18
5893.76168155676  6.892074E-19
5895.12948417669  4.847064E-19
5896.49728679662  3.284207E-19
5897.86508941656  6.482056E-19
5899.23289203649  7.523223E-19
5900.60069465643  7.202798E-19
5901.96849727636  8.975298E-19
5903.33629989629  5.025280E-19
5904.70410251623  4.932997E-19
5906.07190513616  2.738204E-19
5907.4397077561  4.450114E-19
5908.80751037603  6.738056E-19
5910.17531299597  8.401602E-19
5911.5431156159  3.593452E-19
5912.91091823583  1.190869E-18
5914.27872085577  4.646463E-19
5915.6465234757  5.397033E-19
5917.01432609563  8.462683E-19
5918.38212871557  7.492348E-19
5919.7499313355  6.080991E-19
5921.11773395544  8.515586E-19
5922.48553657537  7.179828E-19
5923.85333919531  6.869781E-19
5925.22114181524  1.013460E-18
5926.58894443517  6.603489E-19
5927.95674705511  3.882196E-19
5929.32454967504  2.435797E-19
5930.69235229498  5.177115E-19
5932.06015491491  8.662567E-19
5933.42795753484  6.527342E-19
5934.79576015478  -1.287544E-20
5936.16356277471  6.323024E-19
5937.53136539465  9.401328E-19
5938.89916801458  4.916835E-19
5940.26697063451  9.610678E-19
5941.63477325445  6.172169E-19
5943.00257587438  7.820030E-19
5944.37037849432  5.375709E-19
5945.73818111425  8.092108E-19
5947.10598373418  9.028237E-19
5948.47378635412  1.306419E-18
5949.84158897405  8.436463E-19
5951.20939159399  6.390575E-19
5952.57719421392  7.699314E-19
5953.94499683385  9.313254E-19
5955.31279945379  7.016743E-19
5956.68060207372  3.540812E-19
5958.04840469366  5.652816E-19
5959.41620731359  4.955765E-19
5960.78400993352  7.231205E-19
5962.15181255346  5.967274E-19
5963.51961517339  7.809535E-19
5964.88741779333  8.719083E-19
5966.25522041326  7.232868E-19
5967.6230230332  6.384280E-19
5968.99082565313  3.279567E-19
5970.35862827306  5.714187E-19
5971.726430893  9.677137E-19
5973.09423351293  1.033387E-18
5974.46203613287  5.227937E-19
5975.8298387528  6.066741E-19
5977.19764137273  1.048977E-18
5978.56544399267  6.418596E-19
5979.9332466126  8.726257E-19
5981.30104923254  1.135062E-18
5982.66885185247  8.449589E-19
5984.03665447241  8.584308E-19
5985.40445709234  7.023714E-19
5986.77225971227  6.985140E-19
5988.14006233221  7.354111E-19
5989.50786495214  6.519416E-19
5990.87566757208  8.425207E-19
5992.24347019201  9.515172E-19
5993.61127281194  1.172280E-18
5994.97907543188  1.039190E-18
5996.34687805181  1.279637E-18
5997.71468067175  9.764603E-19
5999.08248329168  8.369221E-19
6000.45028591161  9.835873E-19
6001.81808853155  7.336227E-19
6003.18589115148  8.880111E-19
6004.55369377142  9.304901E-19
6005.92149639135  8.209911E-19
6007.28929901128  6.913388E-19
6008.65710163122  6.454128E-19
6010.02490425115  9.866126E-19
6011.39270687109  9.919378E-19
6012.76050949102  1.285591E-18
6014.12831211096  1.009081E-18
6015.49611473089  7.218681E-19
6016.86391735082  1.473548E-18
6018.23171997076  7.904883E-19
6019.59952259069  1.099980E-18
6020.96732521063  1.014791E-18
6022.33512783056  1.330173E-18
6023.70293045049  1.022322E-18
6025.07073307043  5.961393E-19
6026.43853569036  9.432428E-19
6027.8063383103  9.751462E-19
6029.17414093023  4.794790E-19
6030.54194355016  6.369145E-19
6031.9097461701  9.738914E-19
6033.27754879003  1.326212E-18
6034.64535140997  6.883810E-19
6036.0131540299  9.226417E-19
6037.38095664984  1.127379E-18
6038.74875926977  1.154788E-18
6040.1165618897  9.132008E-19
6041.48436450964  9.809478E-19
6042.85216712957  7.504133E-19
6044.21996974951  8.902803E-19
6045.58777236944  7.174469E-19
6046.95557498937  8.979940E-19
6048.32337760931  1.010578E-18
6049.69118022924  8.711071E-19
6051.05898284918  7.389220E-19
6052.42678546911  8.892028E-19
6053.79458808904  1.026258E-18
6055.16239070898  1.088778E-18
6056.53019332891  1.194480E-18
6057.89799594885  1.052186E-18
6059.26579856878  6.430850E-19
6060.63360118871  8.716781E-19
6062.00140380865  9.196472E-19
6063.36920642858  1.120917E-18
6064.73700904852  1.270614E-18
6066.10481166845  9.521205E-19
6067.47261428838  1.046442E-18
6068.84041690832  1.378033E-18
6070.20821952825  9.531942E-19
6071.57602214819  1.031818E-18
6072.94382476812  9.239636E-19
6074.31162738805  1.114430E-18
6075.67943000799  1.116228E-18
6077.04723262792  1.079358E-18
6078.41503524786  1.025491E-18
