BITPIX  =                    8  /  8-bit ASCII characters                       
NAXIS   =                    1  /  Number of Image Dimensions                   
NAXIS1  =                 3140  /  Length of axis                               
ORIGIN  = 'NOAO-IRAF: WTEXTIMAGE'  /
IRAF-MAX=                   0.  /  Max image pixel                              
IRAF-MIN=                   0.  /  Min image pixel                              
IRAF-B/P=                   32  /  Image bits per pixel                         
IRAFTYPE= 'REAL FLOATING     '  /  Image datatype                              
OBJECT  = '08D2CL            '  /                                              
FILENAME= '08D2CLFC_RECAL_ATM[*,1,1]'  /
5104.20657682426  -3.292168E-18
5105.57401692875  -3.507764E-19
5106.94145703323  1.370218E-17
5108.30889713771  -4.813790E-18
5109.6763372422  2.500393E-18
5111.04377734668  5.094713E-19
5112.41121745117  -2.359568E-18
5113.77865755565  -3.471103E-18
5115.14609766014  -5.831720E-18
5116.51353776462  5.839782E-18
5117.88097786911  -1.717021E-18
5119.24841797359  3.598364E-19
5120.61585807808  1.946483E-18
5121.98329818256  6.625791E-18
5123.35073828705  1.277976E-18
5124.71817839153  -5.602408E-18
5126.08561849602  -3.326034E-18
5127.4530586005  -4.172523E-19
5128.82049870499  -2.642370E-18
5130.18793880947  -3.443352E-18
5131.55537891395  5.285395E-18
5132.92281901844  -8.961521E-18
5134.29025912292  -2.150120E-18
5135.65769922741  8.485866E-18
5137.02513933189  2.652435E-18
5138.39257943638  -3.003441E-19
5139.76001954086  -4.564639E-18
5141.12745964535  7.472264E-20
5142.49489974983  -3.562918E-18
5143.86233985431  -4.148083E-18
5145.2297799588  -1.933379E-18
5146.59722006328  -3.876593E-18
5147.96466016777  1.194884E-17
5149.33210027225  8.615770E-19
5150.69954037674  1.679822E-18
5152.06698048122  -3.407132E-19
5153.43442058571  2.661055E-18
5154.80186069019  -3.958185E-18
5156.16930079468  -1.040440E-18
5157.53674089916  4.230374E-18
5158.90418100365  -1.906461E-18
5160.27162110813  -3.255144E-19
5161.63906121262  3.305945E-18
5163.0065013171  -4.801966E-19
5164.37394142158  -4.892092E-19
5165.74138152607  -1.080404E-18
5167.10882163055  5.867049E-20
5168.47626173504  -1.219800E-18
5169.84370183952  -1.801871E-18
5171.21114194401  -1.346270E-18
5172.57858204849  3.377634E-18
5173.94602215297  4.157355E-18
5175.31346225746  1.434472E-18
5176.68090236194  1.833701E-18
5178.04834246643  -8.642859E-19
5179.41578257091  -1.396210E-18
5180.7832226754  1.592694E-19
5182.15066277988  -4.059770E-18
5183.51810288437  -5.252570E-20
5184.88554298885  4.199803E-18
5186.25298309334  3.244892E-18
5187.62042319782  -1.645303E-18
5188.98786330231  1.926369E-18
5190.35530340679  -2.732506E-18
5191.72274351128  2.389858E-21
5193.09018361576  2.574316E-18
5194.45762372025  4.589511E-18
5195.82506382473  -1.687653E-18
5197.19250392921  2.722619E-19
5198.5599440337  -8.072765E-19
5199.92738413818  1.305050E-18
5201.29482424267  -1.215543E-18
5202.66226434715  4.110748E-18
5204.02970445164  4.372504E-18
5205.39714455612  -8.525506E-19
5206.76458466061  -5.567152E-18
5208.13202476509  -2.321635E-18
5209.49946486958  1.887134E-18
5210.86690497406  -8.776175E-19
5212.23434507854  1.455265E-18
5213.60178518303  -1.113050E-18
5214.96922528751  1.027854E-18
5216.336665392  2.303071E-18
5217.70410549648  3.735314E-18
5219.07154560097  -1.047041E-18
5220.43898570545  -2.542813E-18
5221.80642580994  -2.538782E-18
5223.17386591442  -1.055877E-18
5224.54130601891  5.105931E-18
5225.90874612339  2.851532E-18
5227.27618622788  3.720319E-18
5228.64362633236  4.723796E-20
5230.01106643684  -1.052335E-18
5231.37850654133  3.265079E-18
5232.74594664581  4.680183E-19
5234.1133867503  3.504241E-18
5235.48082685478  2.325593E-18
5236.84826695927  -1.668011E-18
5238.21570706375  2.955323E-18
5239.58314716824  1.529958E-18
5240.95058727272  1.259526E-18
5242.31802737721  8.949453E-20
5243.68546748169  -1.578103E-19
5245.05290758618  -1.658533E-19
5246.42034769066  1.199854E-18
5247.78778779514  9.745078E-19
5249.15522789963  -1.650145E-20
5250.52266800411  2.039244E-18
5251.8901081086  4.308523E-19
5253.25754821308  8.829952E-19
5254.62498831757  -1.494177E-18
5255.99242842205  2.477134E-20
5257.35986852654  4.825642E-19
5258.72730863102  3.061613E-18
5260.09474873551  2.516522E-18
5261.46218883999  1.436141E-18
5262.82962894448  -1.016871E-18
5264.19706904896  6.172914E-19
5265.56450915344  4.768008E-19
5266.93194925793  2.064083E-18
5268.29938936241  1.837672E-18
5269.6668294669  6.031179E-19
5271.03426957138  -9.596066E-19
5272.40170967587  8.244205E-19
5273.76914978035  1.348867E-18
5275.13658988484  9.149765E-19
5276.50402998932  2.013229E-18
5277.87147009381  -4.059392E-19
5279.23891019829  2.408945E-18
5280.60635030278  -5.058793E-19
5281.97379040726  -2.088476E-19
5283.34123051175  -2.578050E-19
5284.70867061623  1.788115E-18
5286.07611072071  2.248011E-18
5287.4435508252  -6.285182E-19
5288.81099092968  2.806472E-20
5290.17843103417  -6.487593E-19
5291.54587113865  -8.755846E-19
5292.91331124314  4.883666E-19
5294.28075134762  2.140549E-18
5295.6481914521  3.373849E-19
5297.01563155659  -1.406762E-19
5298.38307166108  1.604039E-18
5299.75051176556  -4.576337E-19
5301.11795187004  1.613754E-18
5302.48539197453  1.567309E-18
5303.85283207901  6.202126E-19
5305.2202721835  1.048373E-18
5306.58771228798  9.822812E-19
5307.95515239247  -5.533654E-19
5309.32259249695  3.427210E-19
5310.69003260144  6.416449E-19
5312.05747270592  -3.558628E-19
5313.42491281041  -5.906581E-19
5314.79235291489  1.066923E-18
5316.15979301937  2.959316E-19
5317.52723312386  -3.714009E-19
5318.89467322834  -1.206052E-18
5320.26211333283  3.734159E-19
5321.62955343731  1.804285E-18
5322.9969935418  1.016503E-18
5324.36443364628  -1.734847E-18
5325.73187375077  8.844900E-19
5327.09931385525  7.051273E-19
5328.46675395974  2.575381E-18
5329.83419406422  -2.302730E-19
5331.20163416871  -1.210664E-19
5332.56907427319  1.153619E-18
5333.93651437767  -6.368820E-19
5335.30395448216  -2.311512E-19
5336.67139458664  2.538548E-18
5338.03883469113  -2.977012E-19
5339.40627479561  -3.744820E-20
5340.7737149001  -1.177737E-18
5342.14115500458  2.920455E-18
5343.50859510907  -1.130021E-18
5344.87603521355  -4.007469E-19
5346.24347531804  6.159897E-19
5347.61091542252  -3.359987E-19
5348.978355527  -1.481491E-18
5350.34579563149  7.476289E-19
5351.71323573597  1.930543E-19
5353.08067584046  1.773100E-19
5354.44811594494  -9.629140E-19
5355.81555604943  -1.267234E-18
5357.18299615391  -4.308906E-19
5358.5504362584  -5.092527E-19
5359.91787636288  -5.062206E-19
5361.28531646737  5.605462E-19
5362.65275657185  6.283288E-19
5364.02019667634  4.506857E-19
5365.38763678082  -4.335907E-19
5366.7550768853  -1.268285E-18
5368.12251698979  -1.052220E-18
5369.48995709427  6.745214E-19
5370.85739719876  6.714495E-19
5372.22483730324  9.284644E-19
5373.59227740773  1.646232E-18
5374.95971751221  9.304959E-19
5376.3271576167  1.834454E-18
5377.69459772118  1.683402E-18
5379.06203782567  2.301408E-18
5380.42947793015  1.010124E-18
5381.79691803464  1.878285E-18
5383.16435813912  -8.252206E-19
5384.53179824361  -7.249117E-19
5385.89923834809  1.028249E-18
5387.26667845257  1.129795E-19
5388.63411855706  1.442667E-18
5390.00155866154  -1.053665E-18
5391.36899876603  6.128920E-19
5392.73643887051  -1.029069E-18
5394.103878975  9.654808E-19
5395.47131907948  -1.787710E-19
5396.83875918397  1.929361E-18
5398.20619928845  4.754438E-19
5399.57363939294  2.241232E-18
5400.94107949742  -1.144135E-18
5402.3085196019  1.725394E-19
5403.67595970639  9.459365E-20
5405.04339981087  -6.936615E-20
5406.41083991536  1.637444E-18
5407.77828001984  5.300068E-19
5409.14572012433  4.400423E-19
5410.51316022881  3.349776E-19
5411.8806003333  8.452159E-19
5413.24804043778  9.186559E-20
5414.61548054227  1.422364E-20
5415.98292064675  -1.129837E-18
5417.35036075124  -5.226198E-19
5418.71780085572  1.218949E-18
5420.0852409602  2.864626E-19
5421.45268106469  5.551046E-19
5422.82012116917  -4.361783E-19
5424.18756127366  1.936925E-19
5425.55500137814  1.427437E-18
5426.92244148263  2.262032E-19
5428.28988158711  -2.153665E-19
5429.6573216916  8.850438E-20
5431.02476179608  4.527339E-19
5432.39220190057  3.039084E-19
5433.75964200505  3.700436E-19
5435.12708210954  9.815722E-19
5436.49452221402  -6.740133E-19
5437.86196231851  1.298689E-18
5439.22940242299  1.924546E-18
5440.59684252747  9.478382E-20
5441.96428263196  -4.680058E-19
5443.33172273644  4.923317E-19
5444.69916284093  8.687884E-19
5446.06660294541  1.203556E-18
5447.4340430499  1.677757E-19
5448.80148315438  9.982475E-19
5450.16892325886  1.151380E-18
5451.53636336335  1.002697E-18
5452.90380346783  5.280231E-19
5454.27124357232  5.728174E-19
5455.6386836768  -8.524136E-19
5457.00612378129  4.339253E-20
5458.37356388577  -6.547115E-19
5459.74100399026  4.805250E-19
5461.10844409474  5.253893E-19
5462.47588419923  1.089373E-18
5463.84332430371  1.351907E-18
5465.2107644082  3.351325E-19
5466.57820451268  4.427867E-20
5467.94564461717  1.386296E-18
5469.31308472165  5.242134E-19
5470.68052482614  8.178854E-19
5472.04796493062  -3.923113E-19
5473.4154050351  5.824808E-19
5474.78284513959  -4.144335E-19
5476.15028524407  3.554355E-19
5477.51772534856  2.632234E-19
5478.88516545304  -5.972863E-19
5480.25260555753  -2.949814E-19
5481.62004566201  7.334929E-19
5482.9874857665  9.862387E-19
5484.35492587098  7.165154E-19
5485.72236597546  -2.274870E-19
5487.08980607995  2.609882E-19
5488.45724618443  1.546806E-18
5489.82468628892  1.221510E-18
5491.1921263934  1.028492E-18
5492.55956649789  -3.359358E-19
5493.92700660237  -4.742558E-19
5495.29444670686  4.936292E-19
5496.66188681134  4.515480E-19
5498.02932691583  -1.295691E-19
5499.39676702031  -4.436843E-19
5500.7642071248  7.208402E-19
5502.13164722928  1.202734E-18
5503.49908733377  -2.743849E-19
5504.86652743825  -1.284402E-19
5506.23396754273  -3.213328E-19
5507.60140764722  5.606048E-19
5508.9688477517  4.720076E-19
5510.33628785619  1.303439E-18
5511.70372796067  3.421987E-21
5513.07116806516  -6.907675E-20
5514.43860816964  -8.912699E-19
5515.80604827413  7.674257E-19
5517.17348837861  1.479232E-18
5518.5409284831  8.402172E-19
5519.90836858758  1.007840E-18
5521.27580869206  -1.628545E-19
5522.64324879655  -5.650890E-19
5524.01068890103  8.370944E-19
5525.37812900552  4.640711E-20
5526.74556911  3.324058E-19
5528.11300921449  3.985502E-19
5529.48044931897  6.120272E-19
5530.84788942346  -2.168078E-19
5532.21532952794  4.293905E-19
5533.58276963243  1.010073E-19
5534.95020973691  -1.770347E-19
5536.3176498414  -5.966622E-19
5537.68508994588  8.630889E-19
5539.05253005036  5.944426E-19
5540.41997015485  1.423129E-19
5541.78741025933  -7.403334E-19
5543.15485036382  1.422698E-18
5544.5222904683  1.232731E-18
5545.88973057279  -2.320427E-19
5547.25717067727  6.965099E-19
5548.62461078176  1.050095E-18
5549.99205088624  7.824602E-19
5551.35949099073  6.779196E-19
5552.72693109521  -3.270284E-19
5554.0943711997  9.136393E-19
5555.46181130418  -5.210729E-19
5556.82925140867  -8.628463E-20
5558.19669151315  1.947702E-19
5559.56413161763  1.000300E-18
5560.93157172212  1.581918E-19
5562.2990118266  8.846852E-19
5563.66645193109  6.622201E-20
5565.03389203557  1.268126E-18
5566.40133214006  8.905495E-19
5567.76877224454  4.341827E-19
5569.13621234903  -5.544613E-19
5570.50365245351  1.113849E-18
5571.87109255799  4.202364E-19
5573.23853266248  4.156500E-19
5574.60597276696  -4.912441E-19
5575.97341287145  4.590772E-19
5577.34085297593  -6.194313E-19
5578.70829308042  1.194445E-18
5580.0757331849  4.768602E-18
5581.44317328939  1.149765E-19
5582.81061339387  1.051906E-18
5584.17805349836  -1.919661E-20
5585.54549360284  1.045120E-18
5586.91293370733  2.077545E-18
5588.28037381181  3.585935E-19
5589.64781391629  1.269865E-18
5591.01525402078  -1.297332E-19
5592.38269412526  1.392367E-18
5593.75013422975  4.901034E-19
5595.11757433423  2.696117E-19
5596.48501443872  -4.507387E-19
5597.8524545432  -7.075970E-20
5599.21989464769  1.975616E-20
5600.58733475217  -8.308618E-20
5601.95477485666  8.397150E-19
5603.32221496114  1.060887E-18
5604.68965506562  -6.561335E-19
5606.05709517011  1.096331E-18
5607.42453527459  5.916289E-19
5608.79197537908  1.042233E-18
5610.15941548356  8.173631E-19
5611.52685558805  3.124124E-20
5612.89429569253  1.168405E-19
5614.26173579702  3.022664E-19
5615.6291759015  1.385090E-18
5616.99661600599  9.809476E-20
5618.36405611047  -6.936929E-19
5619.73149621496  -3.945303E-19
5621.09893631944  4.131594E-19
5622.46637642393  9.165625E-19
5623.83381652841  1.038875E-18
5625.20125663289  -1.303019E-19
5626.56869673738  -4.255256E-19
5627.93613684186  1.026042E-18
5629.30357694635  9.801274E-19
5630.67101705083  -2.225123E-19
5632.03845715532  -2.939433E-19
5633.4058972598  -4.446016E-19
5634.77333736429  8.067505E-19
5636.14077746877  -6.047493E-19
5637.50821757326  -2.388072E-19
5638.87565767774  -1.971776E-19
5640.24309778223  -1.526600E-20
5641.61053788671  5.857977E-19
5642.97797799119  1.115314E-18
5644.34541809568  -1.050028E-19
5645.71285820016  -3.764208E-19
5647.08029830465  -1.223952E-19
5648.44773840913  -3.912673E-19
5649.81517851362  -6.654615E-19
5651.1826186181  1.401878E-18
5652.55005872259  -1.616128E-19
5653.91749882707  9.893778E-19
5655.28493893156  1.357633E-18
5656.65237903604  -1.031828E-20
5658.01981914053  8.347015E-19
5659.38725924501  -3.763895E-19
5660.75469934949  -5.952563E-20
5662.12213945398  3.599766E-19
5663.48957955846  8.809842E-19
5664.85701966295  4.499452E-19
5666.22445976743  -2.930184E-19
5667.59189987192  9.420767E-19
5668.9593399764  6.147051E-19
5670.32678008089  -6.043724E-19
5671.69422018537  4.516230E-19
5673.06166028986  3.971122E-19
5674.42910039434  6.776743E-19
5675.79654049882  5.506114E-19
5677.16398060331  1.831934E-19
5678.53142070779  5.105594E-19
5679.89886081228  1.618689E-19
5681.26630091676  -1.266640E-19
5682.63374102125  3.576851E-19
5684.00118112573  -3.514631E-19
5685.36862123022  -2.694119E-19
5686.7360613347  7.961331E-23
5688.10350143919  4.027078E-19
5689.47094154367  -1.909876E-19
5690.83838164815  -1.351416E-19
5692.20582175264  6.901859E-19
5693.57326185712  1.726720E-20
5694.94070196161  6.492107E-19
5696.30814206609  2.819942E-19
5697.67558217058  2.771729E-19
5699.04302227506  1.113705E-18
5700.41046237955  1.089170E-18
5701.77790248403  6.227308E-20
5703.14534258852  2.937339E-19
5704.512782693  -1.449006E-19
5705.88022279749  -2.123795E-19
5707.24766290197  9.587324E-19
5708.61510300646  1.383061E-19
5709.98254311094  -1.425170E-19
5711.34998321542  1.171870E-18
5712.71742331991  -3.476612E-19
5714.08486342439  -3.298253E-19
5715.45230352888  1.477148E-18
5716.81974363336  3.154341E-20
5718.18718373785  -3.774505E-19
5719.55462384233  1.171070E-18
5720.92206394682  -2.978981E-19
5722.2895040513  4.911995E-19
5723.65694415579  -4.177996E-19
5725.02438426027  -1.974518E-19
5726.39182436476  -4.233822E-20
5727.75926446924  2.726658E-19
5729.12670457372  7.471150E-19
5730.49414467821  5.757986E-20
5731.86158478269  7.836641E-19
5733.22902488718  4.443597E-19
5734.59646499166  1.202289E-18
5735.96390509615  7.926235E-19
5737.33134520063  -5.610935E-19
5738.69878530512  3.200821E-19
5740.0662254096  7.869871E-19
5741.43366551408  3.545914E-19
5742.80110561857  8.338929E-19
5744.16854572305  -1.541427E-19
5745.53598582754  -1.119781E-19
5746.90342593202  1.620279E-20
5748.27086603651  9.892136E-20
5749.63830614099  -1.885785E-20
5751.00574624548  1.432467E-19
5752.37318634996  -2.155044E-19
5753.74062645445  2.488692E-19
5755.10806655893  3.945575E-19
5756.47550666342  1.418151E-19
5757.8429467679  2.663804E-19
5759.21038687238  6.616886E-20
5760.57782697687  -4.585629E-19
5761.94526708135  3.568814E-19
5763.31270718584  1.574719E-19
5764.68014729032  -1.172312E-19
5766.04758739481  4.536422E-19
5767.41502749929  -7.028100E-20
5768.78246760378  1.488945E-18
5770.14990770826  9.475279E-19
5771.51734781275  8.977830E-19
5772.88478791723  6.481784E-19
5774.25222802172  3.296080E-19
5775.6196681262  4.260318E-19
5776.98710823069  2.246619E-19
5778.35454833517  5.995115E-19
5779.72198843966  3.924170E-19
5781.08942854414  -2.829885E-19
5782.45686864863  6.629011E-19
5783.82430875311  1.233636E-18
5785.19174885759  7.059023E-19
5786.55918896208  3.703697E-19
5787.92662906656  -5.803605E-20
5789.29406917105  4.543949E-19
5790.66150927553  -1.128360E-19
5792.02894938002  5.103217E-19
5793.3963894845  1.087209E-18
5794.76382958899  3.766986E-19
5796.13126969347  9.851527E-22
5797.49870979795  6.833483E-19
5798.86614990244  -3.621569E-19
5800.23359000692  8.280327E-19
5801.60103011141  9.781944E-19
5802.96847021589  2.153366E-19
5804.33591032038  3.488324E-19
5805.70335042486  4.322768E-19
5807.07079052935  2.358792E-19
5808.43823063383  -4.731666E-19
5809.80567073832  6.537353E-19
5811.1731108428  5.394338E-19
5812.54055094729  -1.722778E-19
5813.90799105177  6.169270E-21
5815.27543115625  -3.946135E-20
5816.64287126074  1.965080E-19
5818.01031136522  -5.765581E-19
5819.37775146971  9.626158E-19
5820.74519157419  4.680509E-19
5822.11263167868  3.614083E-19
5823.48007178316  4.273527E-19
5824.84751188765  -2.831520E-19
5826.21495199213  3.839151E-20
5827.58239209661  2.506780E-19
5828.9498322011  3.382241E-19
5830.31727230558  5.477665E-19
5831.68471241007  9.138348E-19
5833.05215251455  9.577217E-19
5834.41959261904  5.097229E-19
5835.78703272352  -3.838318E-19
5837.15447282801  -3.193450E-20
5838.52191293249  4.304936E-19
5839.88935303698  -3.093705E-19
5841.25679314146  3.278516E-19
5842.62423324595  -1.636308E-19
5843.99167335043  6.306751E-19
5845.35911345492  1.383331E-20
5846.7265535594  4.306718E-19
5848.09399366389  3.446549E-19
5849.46143376837  4.137548E-19
5850.82887387286  -6.816122E-20
5852.19631397734  8.238155E-19
5853.56375408182  9.302387E-19
5854.93119418631  8.762121E-19
5856.29863429079  -5.025677E-19
5857.66607439528  -8.429449E-22
5859.03351449976  6.882436E-19
5860.40095460425  1.434844E-19
5861.76839470873  -1.918985E-19
5863.13583481321  4.796859E-19
5864.5032749177  7.727448E-19
5865.87071502219  3.835956E-19
5867.23815512667  -5.661934E-22
5868.60559523115  1.465542E-19
5869.97303533564  -4.501872E-19
5871.34047544012  9.658979E-19
5872.70791554461  8.982134E-20
5874.07535564909  1.073024E-18
5875.44279575358  1.060203E-18
5876.81023585806  5.253023E-19
5878.17767596255  5.955174E-20
5879.54511606703  3.134718E-19
5880.91255617151  -3.375152E-19
5882.279996276  7.154796E-19
5883.64743638048  7.034480E-19
5885.01487648497  -2.882285E-20
5886.38231658945  -1.157783E-19
5887.74975669394  4.997443E-19
5889.11719679842  9.922852E-19
5890.48463690291  1.083041E-18
5891.85207700739  1.074595E-18
5893.21951711188  -2.962892E-19
5894.58695721636  -3.185220E-20
5895.95439732085  7.511736E-19
5897.32183742533  -1.788137E-19
5898.68927752981  5.687011E-19
5900.0567176343  5.268986E-19
5901.42415773878  1.660063E-19
5902.79159784327  9.485553E-19
5904.15903794775  3.530240E-19
5905.52647805224  4.198495E-19
5906.89391815672  -6.831411E-20
5908.26135826121  5.038195E-19
5909.62879836569  2.013617E-19
5910.99623847018  4.000646E-19
5912.36367857466  4.374415E-19
5913.73111867915  5.401436E-19
5915.09855878363  1.788010E-19
5916.46599888811  5.008225E-19
5917.8334389926  5.756549E-19
5919.20087909708  1.714547E-19
5920.56831920157  3.158119E-19
5921.93575930605  7.818149E-19
5923.30319941054  8.439302E-19
5924.67063951502  -2.553637E-19
5926.03807961951  -1.920123E-19
5927.40551972399  3.229573E-21
5928.77295982848  8.069631E-19
5930.14039993296  1.075434E-18
5931.50784003745  3.140285E-19
5932.87528014193  2.167213E-19
5934.24272024642  -6.059239E-20
5935.6101603509  7.894752E-19
5936.97760045538  -8.804342E-21
5938.34504055987  3.356740E-19
5939.71248066435  -8.789887E-20
5941.07992076884  6.303955E-19
5942.44736087332  5.371141E-21
5943.81480097781  -1.791399E-19
5945.18224108229  1.673463E-19
5946.54968118678  -1.878022E-19
5947.91712129126  6.073371E-20
5949.28456139575  -2.801823E-19
5950.65200150023  7.120406E-20
5952.01944160471  7.439333E-19
5953.3868817092  -3.768729E-19
5954.75432181368  1.327909E-19
5956.12176191817  1.924107E-19
5957.48920202265  -3.825294E-20
5958.85664212714  9.336297E-19
5960.22408223162  -9.816596E-20
5961.59152233611  -5.871707E-19
5962.95896244059  4.258463E-19
5964.32640254508  9.711486E-19
5965.69384264956  3.885562E-19
5967.06128275405  4.142833E-19
5968.42872285853  -2.650346E-19
5969.79616296302  2.393902E-19
5971.1636030675  6.598908E-19
5972.53104317198  -1.180395E-19
5973.89848327647  2.363236E-19
5975.26592338095  4.307529E-19
5976.63336348544  3.121736E-20
5978.00080358992  -3.433199E-19
5979.36824369441  6.908280E-19
5980.73568379889  -1.118213E-19
5982.10312390338  5.457734E-19
5983.47056400786  1.746263E-19
5984.83800411235  1.990095E-19
5986.20544421683  1.167065E-19
5987.57288432131  7.193427E-19
5988.9403244258  3.028684E-19
5990.30776453028  3.085034E-19
5991.67520463477  -2.069058E-19
5993.04264473925  -3.625014E-19
5994.41008484374  3.382972E-19
5995.77752494822  4.316978E-19
5997.14496505271  -1.257164E-19
5998.51240515719  1.326441E-19
5999.87984526168  5.105723E-19
6001.24728536616  5.528706E-19
6002.61472547065  -2.428480E-20
6003.98216557513  5.243773E-19
6005.34960567961  2.209397E-19
6006.7170457841  -3.899561E-19
6008.08448588858  9.946938E-20
6009.45192599307  7.614268E-19
6010.81936609755  2.864940E-19
6012.18680620204  1.094751E-19
6013.55424630652  3.822910E-19
6014.92168641101  5.824740E-19
6016.28912651549  5.048941E-19
6017.65656661997  -4.815201E-21
6019.02400672446  6.320517E-19
6020.39144682894  1.017870E-18
6021.75888693343  6.002279E-19
6023.12632703791  7.502082E-20
6024.4937671424  2.063243E-19
6025.86120724688  5.262411E-19
6027.22864735137  5.008634E-19
6028.59608745585  5.852440E-19
6029.96352756034  3.703451E-19
6031.33096766482  -9.472867E-20
6032.69840776931  7.257651E-19
6034.06584787379  2.027424E-19
6035.43328797827  -9.088346E-20
6036.80072808276  2.488316E-19
6038.16816818724  7.863371E-20
6039.53560829173  3.546897E-20
6040.90304839621  5.489864E-19
6042.2704885007  6.703589E-19
6043.63792860518  4.275681E-19
6045.00536870967  6.362022E-19
6046.37280881415  4.151021E-19
6047.74024891864  6.732393E-19
6049.10768902312  3.449186E-19
6050.47512912761  -4.981337E-19
6051.84256923209  1.900830E-19
6053.21000933657  3.888715E-20
6054.57744944106  4.546267E-20
6055.94488954554  -1.046252E-20
6057.31232965003  7.343358E-20
6058.67976975451  4.170151E-20
6060.047209859  -3.657119E-19
6061.41464996348  -5.709609E-20
6062.78209006797  -6.193146E-20
6064.14953017245  7.072115E-19
